 BOX ,MPRATING,BUDGET,SEQUEL,ACTION,COMEDY,ANIMATED,HORROR,ADDICT,CMNGSOON,CNTWAIT3 
" 19,167,085.00 ",4,28,0,0,1,0,0,7860.5,10,0.49
" 63,106,589.00 ",2,150,1,0,0,1,0,5737,59,0.79
" 5,401,605.00 ",4,37.4,0,0,1,0,0,850,24,0.36
" 67,528,882.00 ",3,200,1,1,0,0,0,15326,93,0.76
" 26,223,128.00 ",2,150,0,0,0,1,0,4574.25,30,0.53
" 69,637,740.00 ",3,37,0,0,0,0,0,33324,533,0.77
" 14,800,723.00 ",3,130,0,0,0,0,0,3890.2,20,0.49
" 31,069,826.00 ",3,80,0,0,1,0,0,2339.8,6,0.63
" 12,063,452.00 ",3,40,1,1,0,0,0,3678,75,0.59
" 4,271,451.00 ",4,35,1,1,0,0,0,3585.5,419,0.62
" 3,445,559.00 ",4,12,0,0,0,0,0,1491.5,13,0.23
" 511,920.00 ",2,40,0,0,0,1,0,568,5,0.18
" 30,480,153.00 ",3,80,0,1,0,0,0,13276,162,0.68
" 3,531,664.00 ",3,37.4,0,0,1,0,0,568,8,0.33
" 14,851,136.00 ",3,55,0,0,0,0,0,8237.5,47,0.7
" 10,103,675.00 ",1,60,0,0,0,1,0,1874,35,0.58
" 18,262,471.00 ",3,70,0,0,1,0,0,3111,21,0.66
" 36,357,586.00 ",2,37.4,0,0,1,0,0,1421.666667,47,0.53
" 27,450,296.00 ",2,80,0,0,1,0,0,3719,29,0.53
" 26,853,816.00 ",3,150,0,0,0,0,0,9257.666667,46,0.62
" 21,027,007.00 ",3,95,0,0,0,0,0,2614,60,0.45
" 6,463,278.00 ",3,69.4,0,1,0,0,0,5031,80,0.48
" 5,339,742.00 ",3,20,0,0,0,0,0,2149,8,0.25
" 29,484,388.00 ",4,33,0,0,0,0,0,4249.6,50,0.38
" 21,058,173.00 ",2,30,0,0,1,0,0,801.8,20,0.58
" 19,810,585.00 ",3,16,0,0,0,0,1,20833.8,34,0.37
" 5,314,278.00 ",3,5,0,0,0,0,0,801.8,4,0.15
" 8,911,827.00 ",4,32,0,0,0,0,0,1818.666667,13,0.5
" 17,012,212.00 ",2,35,0,0,1,0,0,1033.166667,8,0.36
" 21,241,456.00 ",4,15,0,0,0,0,1,3119.5,40,0.35
" 20,497,596.00 ",4,20,0,0,0,0,0,3577,51,0.41
" 31,832,636.00 ",2,26,0,0,1,0,0,9266.833333,24,0.54
" 4,299,805.00 ",3,47.5,0,0,0,0,0,1005.833333,2,0.23
" 20,828,511.00 ",4,35,1,1,0,0,0,5451.142857,278,0.68
" 7,601,379.00 ",2,60,0,1,0,0,0,1228.142857,74,0.58
" 5,185,146.00 ",4,35,0,0,0,0,0,3383,33,0.4
" 24,717,037.00 ",3,38,0,1,0,0,0,2173,51,0.48
" 10,325,824.00 ",3,16.7,0,0,0,0,1,1728.375,30,0.41
" 6,741,530.00 ",2,37.4,0,0,1,0,0,1650.875,18,0.34
" 27,785,487.00 ",3,37.4,0,0,1,0,0,2055.444444,23,0.54
" 16,849,640.00 ",2,35,0,0,0,1,0,8086.444444,33,0.33
" 10,079,109.00 ",3,38,0,1,0,0,0,4051.666667,70,0.55
" 11,588,150.00 ",2,37.4,1,0,1,0,0,1204.222222,70,0.45
" 15,066,360.00 ",2,37.4,0,0,1,0,0,1651.3,44,0.44
" 9,331,739.00 ",4,50,0,0,0,0,0,1850.3,6,0.27
" 40,570,365.00 ",4,19,1,0,0,0,1,9453.7,429,0.52
" 5,483,778.00 ",3,20,0,0,1,0,0,1607.454546,13,0.26
" 41,030,947.00 ",3,37.4,1,0,1,0,0,1201.727273,41,0.34
" 12,510,374.00 ",1,37.4,0,0,1,0,0,1118.916667,56,0.29
" 4,721,110.00 ",3,50,0,1,0,0,0,9502.083333,264,0.41
" 55,214,334.00 ",4,150,0,1,0,0,0,45865.69231,236,0.7
" 14,118,685.00 ",4,16.7,0,0,0,0,1,5851.071429,18,0.44
" 2,409,156.00 ",4,37.4,0,0,1,0,0,6919.214286,19,0.3
" 24,402,214.00 ",2,69.4,0,1,0,0,0,4169.857143,52,0.58
" 13,965,110.00 ",3,60,0,0,0,0,0,2096,12,0.36
" 17,810,270.00 ",4,37.4,0,0,1,0,0,13360,29,0.42
" 24,604,751.00 ",3,50,0,0,0,0,0,3019,38,0.67
" 59,321,095.00 ",2,175,0,0,0,1,0,9085.5,68,0.7
" 5,329,240.00 ",3,22,0,1,0,0,0,3186,94,0.62
" 23,004,765.00 ",3,16.7,0,0,0,0,1,17584,58,0.53
" 70,950,500.00 ",3,85,1,1,0,0,0,10609.66667,594,0.71
" 5,722,039.00 ",4,10,0,0,1,0,0,7760.666667,22,0.47
